,Text,Positive,Negative,Neutral,Compound,Username,Time Zone,Timestamp,Time,Year,Month,Day,Hour,Minute
1008,nw: the good doctor,0.492,0.0,0.508,0.4404,gelai1216,None,1.50981e+12,11/4/17 8:22,2017,11,4,8,22
1009,@bvcb_ the good doctor,0.492,0.0,0.508,0.4404,lH0sT,Pacific Time (US & Canada),1.50981e+12,11/4/17 8:49,2017,11,4,8,49
1010,nw: the good doctor,0.492,0.0,0.508,0.4404,thebundatkid,Beijing,1.50981e+12,11/4/17 8:49,2017,11,4,8,49
1011,the good doctor 2017_Ÿ˜ç,0.492,0.0,0.508,0.4404,IamMEf33,Beijing,1.50981e+12,11/4/17 9:19,2017,11,4,9,19
1012,the good doctor se01ep04,0.492,0.0,0.508,0.4404,psychopath_MD,Pacific Time (US & Canada),1.50981e+12,11/4/17 9:28,2017,11,4,9,28
1013,the good doctor _Ÿ‘Œ,0.492,0.0,0.508,0.4404,cllagas42,Pacific Time (US & Canada),1.50981e+12,11/4/17 9:30,2017,11,4,9,30
1014,the good doctor _Ÿ–¥,0.492,0.0,0.508,0.4404,alfailchawy_57,None,1.50981e+12,11/4/17 9:58,2017,11,4,9,58
1015,the good doctor dinast,0.492,0.0,0.508,0.4404,tonny_virgem,Pacific Time (US & Canada),1.50982e+12,11/4/17 10:09,2017,11,4,10,9
1016,#nw the good doctor,0.492,0.0,0.508,0.4404,BigBrianKimani,Nairobi,1.50982e+12,11/4/17 10:12,2017,11,4,10,12
1017,@abbyuy_ the good doctor.,0.492,0.0,0.508,0.4404,el_CHIUpacabra,Pacific Time (US & Canada),1.50982e+12,11/4/17 10:19,2017,11,4,10,19
1018,the good doctor is such a good tucking show,0.492,0.0,0.508,0.7003,danataylorx3,None,1.50982e+12,11/4/17 10:31,2017,11,4,10,31
1019,@diogosardinhas the good doctor,0.492,0.0,0.508,0.4404,JoaoMaia09,None,1.50982e+12,11/4/17 10:34,2017,11,4,10,34
1020,the good doctor is such a good show _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç,0.492,0.0,0.508,0.7003,kelseyy068,Eastern Time (US & Canada),1.50982e+12,11/4/17 10:39,2017,11,4,10,39
1021,this show the good doctor is soooo good,0.492,0.0,0.508,0.7003,Vroomage,None,1.50982e+12,11/4/17 10:45,2017,11,4,10,45
1022,@im_wjd the good doctor,0.492,0.0,0.508,0.4404,Tiger_12_,None,1.50982e+12,11/4/17 11:04,2017,11,4,11,4
1023,@marniegshore the good doctor,0.492,0.0,0.508,0.4404,mchatterbox,London,1.50982e+12,11/4/17 11:23,2017,11,4,11,23
1024,@kaireniniiii the good doctor?,0.492,0.0,0.508,0.4404,shexzl,Quito,1.50983e+12,11/4/17 13:05,2017,11,4,13,5
1025,freddie highmore is a gift,0.492,0.0,0.508,0.4404,SherbertLemonn,London,1.50983e+12,11/4/17 13:05,2017,11,4,13,5
1026,the good doctor. https://t.co/4gx3da5zlz,0.492,0.0,0.508,0.4404,jojoseames,Central Time (US & Canada),1.50983e+12,11/4/17 13:08,2017,11,4,13,8
1027,@xnxak the good doctor,0.492,0.0,0.508,0.4404,khxlidz,Nairobi,1.50983e+12,11/4/17 13:19,2017,11,4,13,19
1028,the good doctor &gt;,0.492,0.0,0.508,0.4404,OnlyBiirdsTweet,None,1.50983e+12,11/4/17 13:30,2017,11,4,13,30
1029,@kjin___ the good doctor,0.492,0.0,0.508,0.4404,KAIreniniiii,Baghdad,1.50983e+12,11/4/17 13:36,2017,11,4,13,36
1030,watching the good doctor,0.492,0.0,0.508,0.4404,NajeebAlagily,Bucharest,1.50983e+12,11/4/17 14:05,2017,11,4,14,5
1031,the good doctor. 10/10,0.492,0.0,0.508,0.4404,tarahastingss,None,1.50983e+12,11/4/17 14:23,2017,11,4,14,23
1032,@caslureisc the good doctor,0.492,0.0,0.508,0.4404,caiqueemedeiros,Brasilia,1.50983e+12,11/4/17 15:01,2017,11,4,15,1
1033,the good doctor &gt;&gt;,0.492,0.0,0.508,0.4404,Makayla_LaPoint,Eastern Time (US & Canada),1.50983e+12,11/4/17 15:03,2017,11,4,15,3
1034,@conssf the good doctor,0.492,0.0,0.508,0.4404,anacarolinabp_,Pacific Time (US & Canada),1.50983e+12,11/4/17 15:07,2017,11,4,15,7
1035,the good doctor https://t.co/slrsqiloug,0.492,0.0,0.508,0.4404,iMbash_,West Central Africa,1.50983e+12,11/4/17 15:24,2017,11,4,15,24
1036,freddie highmore is so cute,0.491,0.0,0.509,0.5949,markjinsolo,Central Time (US & Canada),1.50985e+12,11/4/17 18:45,2017,11,4,18,45
1037,pretty cool seeing @swaisglass on #thegooddoctor tonight! https://t.co/rz83kcglzq,0.491,0.0,0.509,0.6996,lauraannx51,Melbourne,1.5103e+12,11/10/17 0:29,2017,11,10,0,29
1040,#yr's @michaelmuhney gets great praise from #thegooddoctor's @freddiehighmore #youngandrestless  https://t.co/ucxkhr3iva,0.49,0.0,0.51,0.8271,SoapOperaNewss,Central Time (US & Canada),1.51006e+12,11/7/17 5:41,2017,11,7,5,41
1041,@ericwinter1 yay i loved witches of east end and i love the good doctor _Ÿ_‰ can't wait to see you there,0.49,0.0,0.51,0.9371,mash8mint,None,1.51033e+12,11/10/17 6:50,2017,11,10,6,50
1043,yessss! in the good doctor episode i learned that! love it.,0.49,0.0,0.51,0.8264,Jhineen,Central Time (US & Canada),1.50982e+12,11/4/17 11:06,2017,11,4,11,6
1044,amazing show _Ÿ˜ç â€” watching the good doctor abc,0.489,0.0,0.511,0.7717,Mahmoud_MD,None,1.50992e+12,11/5/17 12:59,2017,11,5,12,59
1045,the good doctor is so good and freddie highmore is so precious i luvs him,0.489,0.0,0.511,0.8895,khaleesiorp,None,1.50993e+12,11/5/17 17:39,2017,11,5,17,39
1046,the show the good doctor makes me feel so happy,0.489,0.0,0.511,0.8244,BoxPierce,None,1.50994e+12,11/5/17 19:21,2017,11,5,19,21
1047,just putting it out there but i bloody love freddie highmore and the good doctor like damn adorable human being + an amazing show = _Ÿ˜©_Ÿ™Œ_Ÿè_âù_,0.489,0.162,0.349,0.9517,whoisstephtho,None,1.50997e+12,11/6/17 4:03,2017,11,6,4,3
1048,iï¸è luv freddie highmore heâ€™s such a good actor wow,0.489,0.0,0.511,0.7717,hey_its_mimi_,Pacific Time (US & Canada),1.51e+12,11/6/17 12:48,2017,11,6,12,48
1049,the good doctor _Ÿ˜©_Ÿ˜ç dr murphy makes me so happy,0.489,0.0,0.511,0.8244,_InkMyThoughts,Central Time (US & Canada),1.51002e+12,11/6/17 18:04,2017,11,6,18,4
1050,the good doctor is such an amazing show   10/10,0.489,0.0,0.511,0.7717,poetryucantread,Arizona,1.51004e+12,11/6/17 22:50,2017,11,6,22,50
1051,wow iï¸è thought the good doctor was bullshitting https://t.co/lx0z2ehjhu,0.489,0.0,0.511,0.7717,SwallowSomethin,None,1.51007e+12,11/7/17 9:08,2017,11,7,9,8
1052,@lilyallen the good doctor brilliant viewing a must watch programme,0.489,0.0,0.511,0.7717,JulieMiles2,None,1.51009e+12,11/7/17 12:26,2017,11,7,12,26
1053,the good doctor is definitely one of my new favorite shows. @gooddoctorabc,0.489,0.0,0.511,0.8225,Vinny2316,None,1.51009e+12,11/7/17 14:29,2017,11,7,14,29
1054,wow the good doctor is based in san jose,0.489,0.0,0.511,0.7717,yennhi_le,Pacific Time (US & Canada),1.51044e+12,11/11/17 14:18,2017,11,11,14,18
1055,truly get so emotional watching  #thegooddoctor @skylivinghd,0.489,0.0,0.511,0.5849,angelathompson5,None,1.50978e+12,11/4/17 0:07,2017,11,4,0,7
1056,the good doctor! not fake  https://t.co/omf38vzyqe #tvtime https://t.co/d1f95hyyrw,0.489,0.0,0.511,0.6952,dearbugg,Brasilia,1.50981e+12,11/4/17 8:56,2017,11,4,8,56
1057,the good doctor  more like the good twink amirite boys @freddiehighmore _Ÿ˜‰_Ÿ˜ç,0.488,0.0,0.512,0.8221,FoxToTheFuture,Edinburgh,1.51044e+12,11/11/17 15:50,2017,11,11,15,50
1059,man  the good doctor is a really great show! _Ÿ’•@freddiehighmore _Ÿ_‘_Ÿ’‰_Ÿ’__Ÿ”¬,0.487,0.0,0.513,0.8217,karla_velchez,Seoul,1.50988e+12,11/5/17 1:48,2017,11,5,1,48
1061,@ew well that is obvious hahaha _Ÿ˜ç #thegooddoctor,0.487,0.0,0.513,0.6908,allineedlov,None,1.50999e+12,11/6/17 10:54,2017,11,6,10,54
1062,@couldbloved @shanedawson lol i'm watching the good doctor,0.487,0.0,0.513,0.6908,chimchimvah,None,1.51e+12,11/6/17 12:14,2017,11,6,12,14
1063,12/10 would highly recommend watching the good doctor,0.487,0.0,0.513,0.6901,bdub2016,Eastern Time (US & Canada),1.51001e+12,11/6/17 14:02,2017,11,6,14,2
1064,here's a nice one from the good doctor... https://t.co/vdxy1qjwt4,0.487,0.0,0.513,0.6908,VertinoStudio,Pacific Time (US & Canada),1.51002e+12,11/6/17 18:39,2017,11,6,18,39
1065,i liked not fake of the good doctor! #thegooddoctor via @televisionapp https://t.co/ibpqps44rm https://t.co/miirm0dhkf,0.487,0.0,0.513,0.8199,RealStanDavis,None,1.51003e+12,11/6/17 21:32,2017,11,6,21,32
1067,@twin_nicki watching the good doctor now.....i like it!,0.487,0.0,0.513,0.69,solarcellXIII,West Central Africa,1.51009e+12,11/7/17 12:05,2017,11,7,12,5
1070,#thegooddoctor  series 1 episode 3 .... brilliant,0.487,0.0,0.513,0.5859,Jane_Rich26,None,1.51035e+12,11/10/17 13:44,2017,11,10,13,44
1071,the good doctor is actually a nice series _Ÿ‘Œ,0.487,0.0,0.513,0.6908,babsdorothy,None,1.51043e+12,11/11/17 11:16,2017,11,11,11,16
1073,i liked the good doctor series sooo much wallahiii_Ÿ˜ç,0.487,0.0,0.513,0.6908,AmallHesham,Cairo,1.50982e+12,11/4/17 11:59,2017,11,4,11,59
1074,the good doctor seems like a really nice show maybe i should consider it,0.486,0.0,0.514,0.8173,Sharonalbert_,None,1.51005e+12,11/7/17 2:30,2017,11,7,2,30
1077,the good doctor is so good i forgot i needed to watch it but wow iâ€™m glad i did bc i love my son mr norman bates shaun murphy,0.486,0.0,0.514,0.9633,handsnonme,None,1.51029e+12,11/9/17 20:49,2017,11,9,20,49
1078,the good doctor is such an interesting show. iï¸è cannot. so good.,0.486,0.0,0.514,0.8176,nifulla,Quito,1.51039e+12,11/10/17 23:39,2017,11,10,23,39
1079,but instead ive been binge watching the good doctor... lol,0.486,0.0,0.514,0.8201,DohMindMe_,None,1.51045e+12,11/11/17 16:35,2017,11,11,16,35
1080,freddie highmore dans the good doctor il est excellent,0.485,0.0,0.515,0.765,planetemarvel,Belgrade,1.50987e+12,11/5/17 1:22,2017,11,5,1,22
1081,freddie highmore loves you! â€” thank you for this  this is so cute https://t.co/ihqnjtgbky,0.485,0.0,0.515,0.8849,hausofemmaa,Hawaii,1.50995e+12,11/5/17 21:31,2017,11,5,21,31
1082,excited to watch #thegooddoctor tonight . best show on tv,0.485,0.0,0.515,0.765,EdenRose1000,CST,1.50999e+12,11/6/17 10:04,2017,11,6,10,4
1083,@gooddoctorabc love shawn and claire's dynamics on #thegooddoctor ! @antonialthomas,0.485,0.0,0.515,0.7644,GoodDoctor_abc,None,1.51033e+12,11/10/17 8:01,2017,11,10,8,1
1084,loving #thegooddoctor on @skylivinghd @freddiehighmore is such a talented actor another great programme to his cv,0.485,0.0,0.515,0.9062,WafflingPhil,London,1.50983e+12,11/4/17 13:49,2017,11,4,13,49
1086,really feeling this show the good doctor,0.484,0.0,0.516,0.5709,_TrulyTamm,Arizona,1.51002e+12,11/6/17 16:48,2017,11,6,16,48
1087,#thegooddoctor is so good _Ÿ˜©_Ÿ˜©,0.483,0.0,0.517,0.5777,Emilywestsidee,None,1.50985e+12,11/4/17 19:51,2017,11,4,19,51
1088,shaun _Ÿ’__Ÿ’_  i'm in love with his honesty   an amazing character _Ÿ’‰_Ÿ’_. #thegooddoctorabc  #thegooddoctor https://t.co/2l8ppcupob,0.483,0.0,0.517,0.9042,WaIidoo,Pacific Time (US & Canada),1.50991e+12,11/5/17 10:04,2017,11,5,10,4
1089,miss you in bates motel! super excited for the good doctor! good way to end a day https://t.co/ssmxrwwthk,0.483,0.061,0.457,0.9018,JAHPEEnese,Hong Kong,1.50998e+12,11/6/17 5:35,2017,11,6,5,35
1090,#thegooddoctor is amazing! i'm obsessed!,0.483,0.187,0.33,0.5696,BarbaraDRocha,London,1.50999e+12,11/6/17 8:48,2017,11,6,8,48
1091,"found new interesting series;""the good doctor""even shed a tear_Ÿ˜ç",0.483,0.0,0.517,0.6808,Bullet8214,None,1.50999e+12,11/6/17 9:34,2017,11,6,9,34
1092,#thegooddoctor is so good _Ÿ˜_,0.483,0.0,0.517,0.5777,thewanderergal,None,1.51008e+12,11/7/17 10:05,2017,11,7,10,5
1093,interesting ning the good doctor na series da,0.483,0.0,0.517,0.6808,aykroydie,London,1.51028e+12,11/9/17 17:26,2017,11,9,17,26
1094,should i watch the good doctor iâ€™m rly interested,0.483,0.0,0.517,0.6808,lNRAlNBOWS,Eastern Time (US & Canada),1.51032e+12,11/10/17 6:35,2017,11,10,6,35
1096,watching the good doctor liking it already... #thegooddoctor,0.483,0.0,0.517,0.6808,hlumie212,Hawaii,1.51039e+12,11/11/17 2:09,2017,11,11,2,9
1098,just spent 5hrs watching the good doctor. help.,0.483,0.0,0.517,0.6808,jakesaperson,Pacific Time (US & Canada),1.51046e+12,11/11/17 21:05,2017,11,11,21,5
1099,if anyone needs a new series to watch  the good doctor is pretty good!,0.482,0.0,0.518,0.8516,JacobsAlexus,None,1.51005e+12,11/7/17 3:42,2017,11,7,3,42
1100,#thegooddoctor .. love love love this show  highlighting the difficulties and discrimination towards people with autism!!,0.481,0.08,0.438,0.9183,g_leigh1,Hawaii,1.50989e+12,11/5/17 7:13,2017,11,5,7,13
1101,like seriously _Ÿ˜©_Ÿ˜«#thegooddoctor,0.481,0.327,0.192,0.2023,MrsCurley89,None,1.51002e+12,11/6/17 17:16,2017,11,6,17,16
1102,freddie highmore mah loves _Ÿ˜ù_Ÿ’–,0.481,0.0,0.519,0.5719,vsuelto_,Pacific Time (US & Canada),1.51029e+12,11/9/17 21:38,2017,11,9,21,38
1103,how 'the good doctor' redefines the #tv hero https://t.co/bxnllorzl9,0.481,0.0,0.519,0.7579,TV__Newz,Paris,1.5104e+12,11/11/17 4:36,2017,11,11,4,36
1104,how â€˜the good doctorâ€™ redefines the tv hero https://t.co/08udxbyvfr,0.481,0.0,0.519,0.7579,morgandersfan,None,1.51042e+12,11/11/17 8:21,2017,11,11,8,21
1105,how â€˜the good doctorâ€™ redefines the tv hero https://t.co/reva6q5vbv,0.481,0.0,0.519,0.7579,real_albertrios,None,1.51043e+12,11/11/17 11:11,2017,11,11,11,11
1106,how â€˜the good doctorâ€™ redefines the tv hero  https://t.co/wtzc8a6yio,0.481,0.0,0.519,0.7579,summedupusa,Pacific Time (US & Canada),1.51044e+12,11/11/17 13:38,2017,11,11,13,38
1107,how â€˜the good doctorâ€™ redefines the tv hero https://t.co/ot5yjqho2z,0.481,0.0,0.519,0.7579,MyAlliesNews,Belgrade,1.51045e+12,11/11/17 18:10,2017,11,11,18,10
1108,how â€˜the good doctorâ€™ redefines the tv hero https://t.co/08udxbgunt,0.481,0.0,0.519,0.7579,morgandersfan,None,1.51047e+12,11/11/17 22:15,2017,11,11,22,15
1109,@freddiehighmore you are fantastic in the good doctor _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç,0.481,0.0,0.519,0.7579,King7Dee,None,1.50979e+12,11/4/17 2:14,2017,11,4,2,14
1110,@theapexfan love freddie highmore. been a fan since findibg neverland,0.481,0.0,0.519,0.7579,eeriekwun,Pacific Time (US & Canada),1.50983e+12,11/4/17 13:31,2017,11,4,13,31
1111,@tvguide my fave new show #thegooddoctor is safe!  i knew it would be.  brilliant show!,0.481,0.0,0.519,0.8802,Loistroutman,None,1.50983e+12,11/4/17 14:57,2017,11,4,14,57
1112,one of my fave episodes of #thegooddoctor tonight promotes organ transplantation :),0.48,0.0,0.52,0.8074,HawaiiFive0_OZ,Sydney,1.51005e+12,11/7/17 1:48,2017,11,7,1,48
1113,only watched episode of the good doctor and i love iï¸èt!,0.48,0.0,0.52,0.8122,xomadia,Central Time (US & Canada),1.51009e+12,11/7/17 13:51,2017,11,7,13,51
1114,#thegooddoctor series is epic! â€” feeling amused,0.479,0.0,0.521,0.5562,NafehSaad,Jerusalem,1.51009e+12,11/7/17 14:10,2017,11,7,14,10
1115,up watching â€œthe good doctor â€ù iï¸è cannot stop crying _Ÿ___Ÿè_â€çâ™€ï¸è,0.479,0.0,0.521,0.7463,idrisssssa,None,1.5103e+12,11/9/17 23:47,2017,11,9,23,47
1117,perfect!!!! thank you! #thegooddoctor https://t.co/oduau85pot,0.478,0.0,0.522,0.5673,nomar_arce,Atlantic Time (Canada),1.50993e+12,11/5/17 16:09,2017,11,5,16,9
1118,@fuckingamirror the good witch  the good doctor and the good place,0.478,0.137,0.385,0.7351,summerinohio,Central Time (US & Canada),1.50997e+12,11/6/17 3:51,2017,11,6,3,51
1119,ok so like i enjoy the good doctor yknow but where is the plot???,0.478,0.0,0.522,0.7372,lovelymcclain,Pacific Time (US & Canada),1.51e+12,11/6/17 12:10,2017,11,6,12,10
1123,the good doctor is so freaking amazing i just want to love dr. shaun murphy forever !!!,0.477,0.129,0.393,0.867,Shanzzzz,Quito,1.51029e+12,11/9/17 21:53,2017,11,9,21,53
1124,#thegooddoctor has the best fans ever. seriously. you guys are super amazing and i bet all of you are so talented â™¥ï¸è,0.477,0.05,0.473,0.9472,GoodDoctorFans,None,1.51037e+12,11/10/17 17:54,2017,11,10,17,54
1125,@realrclark25 it's really good freddie highmore is great in it,0.477,0.0,0.523,0.807,bobmahoney866,Central Time (US & Canada),1.51037e+12,11/10/17 18:39,2017,11,10,18,39
1126,can't get over how great the good doctor series is !,0.477,0.0,0.523,0.807,AliaaSameer,Athens,1.51044e+12,11/11/17 15:01,2017,11,11,15,1
1127,the good doctor: not fake (s1.e6) #imdb https://t.co/gkacesoabb,0.476,0.0,0.524,0.6656,tperlmutter,Eastern Time (US & Canada),1.50984e+12,11/4/17 16:23,2017,11,4,16,23
1128,the good doctor - s01e06 - not fake #thegooddoctor https://t.co/tnu6czeuhh,0.476,0.0,0.524,0.6656,ricardomjr,Brasilia,1.50984e+12,11/4/17 16:36,2017,11,4,16,36
1129,the good doctor - t01e06 - not fake https://t.co/h7q6rg4anm https://t.co/yqakvduxrl,0.476,0.0,0.524,0.6656,patadeconejo_,Brasilia,1.50989e+12,11/5/17 4:31,2017,11,5,4,31
1131,the good doctor - s01e06 - not fake https://t.co/wawu3ea8vj https://t.co/dv0i3csq5r,0.476,0.0,0.524,0.6656,ItzzMaher,None,1.50999e+12,11/6/17 11:03,2017,11,6,11,3
1132,the good doctor - sÙ Ù¡eÙ Ù_ - not fake https://t.co/qeywkxkuz2 https://t.co/5lhhmpegdb,0.476,0.0,0.524,0.6656,Abdulrahman_ABC,None,1.51e+12,11/6/17 11:30,2017,11,6,11,30
1133,iï¸è canâ€™t watch the good doctor without crying,0.476,0.0,0.524,0.6656,eSpecialK29,None,1.51007e+12,11/7/17 7:24,2017,11,7,7,24
1134,assisti the good doctor - 1x06 not fake https://t.co/kk99f3iprb,0.476,0.0,0.524,0.6656,leo_junior19,Santiago,1.51029e+12,11/9/17 20:06,2017,11,9,20,6
1135,the good doctor - s01e06 - not fake https://t.co/uigymuyslp https://t.co/i1vauq9fgi,0.476,0.0,0.524,0.6656,plmddsjoao,Brasilia,1.51036e+12,11/10/17 15:24,2017,11,10,15,24
1137,the good doctor has to be the best show i've ever seen it's amazing _Ÿ˜©,0.476,0.0,0.524,0.8979,angelaxalcaraz,Pacific Time (US & Canada),1.50981e+12,11/4/17 9:33,2017,11,4,9,33
1138,the good doctor - sÙ Ù¡eÙ Ù_ - not fake https://t.co/md2egohlwb https://t.co/2lpmmhnahj,0.476,0.0,0.524,0.6656,Bader_24_,GMT+3,1.50982e+12,11/4/17 12:01,2017,11,4,12,1
1143,the good doctor (american) or good doctor (korean) ???,0.475,0.0,0.525,0.7461,itsmejoyvelynne,Beijing,1.50981e+12,11/4/17 7:27,2017,11,4,7,27
1145,freddie highmore is a fantastic actor,0.474,0.0,0.526,0.5574,scottyandheath,None,1.50992e+12,11/5/17 15:06,2017,11,5,15,6
1146,10/10 would recommend the show the good doctor,0.474,0.0,0.526,0.6597,steph_craig22,None,1.50993e+12,11/5/17 18:02,2017,11,5,18,2
1147,fantastic #freddiehighmore #drshaunmurphy #thegooddoctor https://t.co/hvmdbqfpzx,0.474,0.0,0.526,0.5574,miafaithr,None,1.51001e+12,11/6/17 14:02,2017,11,6,14,2
1148,.@abcnetwork no one cares about luke bryan. play the good doctor,0.474,0.126,0.4,0.7269,JD_ODonnell,None,1.51001e+12,11/6/17 15:19,2017,11,6,15,19
1149,watching the good doctor and bawling like a child,0.474,0.0,0.526,0.6597,StormyRussell,None,1.51027e+12,11/9/17 14:37,2017,11,9,14,37
1150,they mentioned dsp's in the good doctor and i got excited for no good reason lol,0.474,0.095,0.431,0.8316,amandalibbyy,None,1.51028e+12,11/9/17 19:02,2017,11,9,19,2
1151,new series like the brave  the gifted and the good doctor be better in my opinion https://t.co/ckx5fnnq42,0.474,0.0,0.526,0.8934,fredmojo,Casablanca,1.51034e+12,11/10/17 11:45,2017,11,10,11,45
1153,looks like the good doctor needs patients... https://t.co/rr0ocnohht,0.474,0.0,0.526,0.6597,noshtradamus,New Delhi,1.51037e+12,11/10/17 20:02,2017,11,10,20,2
1156,@bendreyfuss i love the good doctor. was surprised itâ€™s based on a south korean show.,0.474,0.0,0.526,0.8402,robynray1,None,1.50982e+12,11/4/17 10:32,2017,11,4,10,32
1157,@atrott98 watch the good doctor on hulu! i promise you won't be disappointed,0.472,0.0,0.528,0.7933,pphimprachanh,Pacific Time (US & Canada),1.50984e+12,11/4/17 16:19,2017,11,4,16,19
1158,the good doctor good as fuck,0.472,0.285,0.244,0.3182,Mvrdy,Central Time (US & Canada),1.50994e+12,11/5/17 20:07,2017,11,5,20,7
1159,i love this!!!!! @grahamverchere @freddiehighmore @gooddoctorabc @gooddoctorfan https://t.co/fq5tp3ikox,0.472,0.0,0.528,0.7482,CaptainRumple33,Eastern Time (US & Canada),1.51045e+12,11/11/17 17:44,2017,11,11,17,44
1160,i liked a @youtube video https://t.co/3lvyjqky91 claire finds out the truth - the good doctor,0.471,0.0,0.529,0.7906,goldwingman1500,New Caledonia,1.50992e+12,11/5/17 13:30,2017,11,5,13,30
1162,omg the good doctor episode 1. iâ€™m not crying. youâ€™re crying. https://t.co/qtsxjxduvf,0.471,0.0,0.529,0.791,nzairina28,Kuala Lumpur,1.51029e+12,11/9/17 20:50,2017,11,9,20,50
1163,the good doctor is the best show i've seen a while,0.47,0.0,0.53,0.7964,Nicolek1134,Eastern Time (US & Canada),1.50993e+12,11/5/17 15:57,2017,11,5,15,57
1164,i love how the good doctor is based in san jose,0.47,0.0,0.53,0.7964,oneinalillyan,Pacific Time (US & Canada),1.51003e+12,11/6/17 20:14,2017,11,6,20,14
1165,i just saw someone i love defending the good doctor and i can't,0.47,0.0,0.53,0.7964,Nerdista,Pacific Time (US & Canada),1.51003e+12,11/6/17 20:27,2017,11,6,20,27
1166,the good doctor is probably one of the best shows,0.47,0.0,0.53,0.7964,symplyshay,Pacific Time (US & Canada),1.51009e+12,11/7/17 13:18,2017,11,7,13,18
1167,you just have to love the good doctor _Ÿ˜ç https://t.co/pidaxci2ch,0.47,0.0,0.53,0.7964,onecarson,None,1.5104e+12,11/11/17 2:39,2017,11,11,2,39
1168,the good doctor one of the best series ever _Ÿ˜Œ_Ÿ˜Œ,0.47,0.0,0.53,0.7964,YBatarseh,None,1.50979e+12,11/4/17 4:21,2017,11,4,4,21
1169,the good doctor is the best thing iv ever watched.,0.47,0.0,0.53,0.7964,Nicole3565,None,1.50983e+12,11/4/17 12:58,2017,11,4,12,58
1170,face is full of tears thanks to #thegooddoctor such a brilliant and lovely procedural. #autismawareness,0.469,0.085,0.446,0.8625,Griffithspow,None,1.5099e+12,11/5/17 8:41,2017,11,5,8,41
1171,the good doctor comes on tonight iâ€™m excited,0.469,0.0,0.531,0.6486,nvmdiane,Pacific Time (US & Canada),1.50998e+12,11/6/17 7:53,2017,11,6,7,53
1173,the good doctor is such a good show. i just found my new favorite show,0.468,0.0,0.532,0.8316,mudiegoo,None,1.51003e+12,11/6/17 22:05,2017,11,6,22,5
1176,the good doctor is great. today is about catching up.,0.467,0.0,0.533,0.7906,sarabzzz,Pacific Time (US & Canada),1.5099e+12,11/5/17 8:36,2017,11,5,8,36
1177,just watched #thegooddoctor. if you liked #house. youâ€™ll love this.,0.467,0.0,0.533,0.7906,kevosullivan07,Dublin,1.51e+12,11/6/17 11:22,2017,11,6,11,22
1178,"i' m sorry to say  but "" the good doctor"" won' t be on finite_Ÿ˜¿",0.467,0.06,0.472,0.8674,babertrish,Quito,1.51002e+12,11/6/17 18:02,2017,11,6,18,2
1179,"i' m sorry to say  but ""the good doctor"" won' t be on tonight._Ÿ˜¿",0.467,0.06,0.472,0.8674,babertrish,Quito,1.51002e+12,11/6/17 18:03,2017,11,6,18,3
1180,i'm really enjoying the good doctor  and it seems to be fairly diverse  bless,0.467,0.0,0.533,0.8643,Aimdiddles,Sydney,1.51005e+12,11/7/17 2:13,2017,11,7,2,13
1181,my precious baby. he wants pancakes instead of love _Ÿ˜©_Ÿ˜_ #thegooddoctor,0.467,0.0,0.533,0.836,KeshieKeshie,Atlantic Time (Canada),1.51028e+12,11/9/17 16:57,2017,11,9,16,57
1182,have you guys been watching the good doctor? itâ€™s great,0.467,0.0,0.533,0.7906,LizzieJizzie,Pacific Time (US & Canada),1.5103e+12,11/9/17 23:55,2017,11,9,23,55
1183,the good doctor is so weird  but good,0.467,0.13,0.403,0.6345,_Anconeus,Quito,1.51043e+12,11/11/17 11:05,2017,11,11,11,5
1185,@kiwimanian watch the good doctor!!,0.466,0.0,0.534,0.5399,SARCASMxGUN,Quito,1.51007e+12,11/7/17 8:24,2017,11,7,8,24
1186,very handsome _Ÿ˜©!!!  @iamnickgonzalez #thegooddoctor https://t.co/fn2sd3rvza,0.466,0.0,0.534,0.6563,Dos_bx,Quito,1.51008e+12,11/7/17 11:34,2017,11,7,11,34
1187,@realrclark25 love the good doctor!!! they had a break last week for luke bryanâ€™s special. so glad it will be back monday!,0.466,0.0,0.534,0.9416,AmandaGreer19,None,1.51037e+12,11/10/17 18:48,2017,11,10,18,48
1188,one of the best tv series like ever..... â€” watching the good doctor abc,0.466,0.0,0.534,0.8625,DrMosoane,Pacific Time (US & Canada),1.51037e+12,11/10/17 19:05,2017,11,10,19,5
1189,@detectiveju watch the good doctor!!,0.466,0.0,0.534,0.5399,notcoolsaul,Pacific Time (US & Canada),1.51039e+12,11/11/17 1:30,2017,11,11,1,30
1190,cuma mau bilang the good doctor is so dang good  recommended sangat,0.466,0.0,0.534,0.7823,imajiniasi,Pacific Time (US & Canada),1.51042e+12,11/11/17 8:34,2017,11,11,8,34
1191,@allaboutdatea @lov3jones31 ohhhhh dear god it's the best! between the good doctor &amp; this is us there's no better sâ€_ https://t.co/z2xgzznxir,0.466,0.068,0.466,0.9151,SAMIdGILBERT1,None,1.51046e+12,11/11/17 19:18,2017,11,11,19,18
